ticket_id,subject,description,category,priority,status,channel,created_at,resolution_time_hours,customer_satisfaction,is_synthetic
SYN-00963,Cancel problem,"Hello support, my cancel want my money back. Please help me resolve this today.",Refund Request,Medium,Open,Web,2024-08-15T02:00:00,75,5,True
SYN-00929,Purchase problem,"Hello support, my purchase return was approved. Please help me resolve this when possible.",Refund Request,Low,Closed,Phone,2024-05-30T21:00:00,90,4,True
SYN-01027,Purchase request,"Hello support, my purchase return was approved. Please help me resolve this soon.",Refund Request,Low,Resolved,Chat,2024-03-19T07:00:00,16,2,True
SYN-01594,Delivery problem,"Hello support, my delivery tracking is frozen. Please help me resolve this today.",Shipping Issue,High,Closed,Email,2024-03-04T09:00:00,106,4,True
SYN-00106,Update help,"Hello support, my update shows an error. Please help me resolve this soon.",Technical Issue,Medium,Open,Web,2024-08-15T14:00:00,2,3,True
SYN-02060,Help question,"Hello support, my help have a general question. Please help me resolve this when possible.",General Support,Medium,Open,Phone,2024-06-05T04:00:00,48,4,True
SYN-01208,Compatible problem,"Hello support, my compatible which plan includes it. Please help me resolve this today.",Product Inquiry,Medium,Open,Email,2024-05-29T00:00:00,118,2,True
SYN-01691,Package question,"Hello support, my package went to wrong address. Please help me resolve this soon.",Shipping Issue,Low,Open,Web,2024-09-30T03:00:00,79,5,True
SYN-01101,Return problem,"Hello support, my return return was approved. Please help me resolve this soon.",Refund Request,High,Open,Phone,2024-11-27T16:00:00,87,3,True
SYN-01003,Cancel request,"Hello support, my cancel cancel this order. Please help me resolve this today.",Refund Request,High,Open,Email,2024-09-22T13:00:00,35,4,True
SYN-01777,Package request,"Hello support, my package went to wrong address. Please help me resolve this soon.",Shipping Issue,Medium,Open,Email,2024-07-04T12:00:00,88,4,True
SYN-02064,Help problem,"Hello support, my help where can I find help. Please help me resolve this when possible.",General Support,Critical,Pending,Phone,2024-02-06T07:00:00,99,3,True
SYN-01081,Return request,"Hello support, my return return was approved. Please help me resolve this when possible.",Refund Request,High,Closed,Chat,2024-09-19T10:00:00,92,3,True
SYN-01230,Plan question,"Hello support, my plan which plan includes it. Please help me resolve this soon.",Product Inquiry,High,Open,Chat,2024-04-24T08:00:00,53,3,True
SYN-01328,Plan help,"Hello support, my plan is this supported. Please help me resolve this when possible.",Product Inquiry,Critical,Open,Web,2024-07-15T03:00:00,65,4,True
SYN-00268,Screen question,"Hello support, my screen keeps failing. Please help me resolve this soon.",Technical Issue,Low,Resolved,Web,2024-07-22T18:00:00,77,4,True
SYN-01897,Guidance help,"Hello support, my guidance need some assistance. Please help me resolve this soon.",General Support,Low,Pending,Chat,2024-02-09T13:00:00,15,1,True
SYN-01461,Compatible help,"Hello support, my compatible is this supported. Please help me resolve this when possible.",Product Inquiry,High,Open,Chat,2024-02-02T23:00:00,118,3,True
SYN-00231,Screen problem,"Hello support, my screen keeps failing. Please help me resolve this today.",Technical Issue,Critical,Resolved,Email,2024-09-11T13:00:00,28,5,True
SYN-00697,Login request,"Hello support, my login reset link expired. Please help me resolve this when possible.",Account Access,Low,Resolved,Web,2024-06-18T09:00:00,20,5,True
SYN-01487,Plan request,"Hello support, my plan want to compare options. Please help me resolve this when possible.",Product Inquiry,Medium,Resolved,Web,2024-01-16T06:00:00,20,5,True
SYN-00843,Login problem,"Hello support, my login account is locked. Please help me resolve this when possible.",Account Access,Medium,Open,Phone,2024-07-14T03:00:00,38,3,True
SYN-00623,Account help,"Hello support, my account reset link expired. Please help me resolve this soon.",Account Access,High,Pending,Chat,2024-10-04T19:00:00,89,1,True
SYN-00299,Device request,"Hello support, my device shows an error. Please help me resolve this soon.",Technical Issue,High,Resolved,Phone,2024-06-30T16:00:00,36,5,True
SYN-00523,Billing help,"Hello support, my billing need a receipt. Please help me resolve this soon.",Billing Inquiry,Medium,Resolved,Email,2024-03-26T07:00:00,21,4,True
SYN-00396,Billing problem,"Hello support, my billing amount is incorrect. Please help me resolve this soon.",Billing Inquiry,Medium,Open,Web,2024-10-22T17:00:00,82,5,True
SYN-00030,Error question,"Hello support, my error shows an error. Please help me resolve this soon.",Technical Issue,High,Open,Email,2024-05-15T02:00:00,17,4,True
SYN-02044,Help request,"Hello support, my help where can I find help. Please help me resolve this soon.",General Support,Low,Pending,Email,2024-04-08T06:00:00,87,1,True
SYN-00997,Purchase problem,"Hello support, my purchase return was approved. Please help me resolve this today.",Refund Request,Low,Pending,Chat,2024-08-22T19:00:00,13,3,True
SYN-02087,Contact question,"Hello support, my contact have a general question. Please help me resolve this when possible.",General Support,Low,Closed,Phone,2024-08-06T06:00:00,31,2,True
SYN-01466,Upgrade problem,"Hello support, my upgrade which plan includes it. Please help me resolve this when possible.",Product Inquiry,High,Open,Email,2024-10-21T11:00:00,1,5,True
SYN-00214,Device question,"Hello support, my device stopped working. Please help me resolve this today.",Technical Issue,High,Open,Phone,2024-11-01T18:00:00,51,1,True
SYN-01535,Courier question,"Hello support, my courier has not arrived. Please help me resolve this soon.",Shipping Issue,Medium,Open,Email,2024-08-11T12:00:00,114,1,True
SYN-00648,Login help,"Hello support, my login account is locked. Please help me resolve this soon.",Account Access,Medium,Pending,Phone,2024-08-11T08:00:00,75,2,True
SYN-01367,Feature request,"Hello support, my feature is this supported. Please help me resolve this when possible.",Product Inquiry,Low,Resolved,Phone,2024-07-18T01:00:00,39,5,True
SYN-00672,Password help,"Hello support, my password reset link expired. Please help me resolve this soon.",Account Access,Medium,Pending,Email,2024-08-06T09:00:00,35,5,True
SYN-01901,Help help,"Hello support, my help need some assistance. Please help me resolve this when possible.",General Support,Medium,Resolved,Email,2024-04-07T02:00:00,3,5,True
SYN-00616,Verification help,"Hello support, my verification cannot sign in. Please help me resolve this today.",Account Access,Critical,Resolved,Phone,2024-01-30T09:00:00,55,3,True
SYN-00012,Device help,"Hello support, my device keeps failing. Please help me resolve this when possible.",Technical Issue,High,Open,Email,2024-05-11T08:00:00,49,5,True
SYN-00744,Verification question,"Hello support, my verification cannot sign in. Please help me resolve this soon.",Account Access,Critical,Closed,Email,2024-05-10T22:00:00,58,1,True
SYN-01292,Plan request,"Hello support, my plan need more information. Please help me resolve this today.",Product Inquiry,High,Pending,Web,2024-10-28T11:00:00,78,5,True
SYN-00342,Card problem,"Hello support, my card payment was declined. Please help me resolve this today.",Billing Inquiry,Low,Pending,Web,2024-11-09T03:00:00,105,2,True
SYN-01690,Courier request,"Hello support, my courier package was damaged. Please help me resolve this when possible.",Shipping Issue,Medium,Closed,Email,2024-11-22T16:00:00,36,1,True
SYN-00992,Purchase problem,"Hello support, my purchase return was approved. Please help me resolve this soon.",Refund Request,Critical,Open,Email,2024-05-18T08:00:00,105,2,True
SYN-00698,Password help,"Hello support, my password code never arrived. Please help me resolve this when possible.",Account Access,Low,Resolved,Chat,2024-04-28T08:00:00,54,1,True
SYN-01076,Refund request,"Hello support, my refund cancel this order. Please help me resolve this when possible.",Refund Request,Low,Pending,Phone,2024-03-05T01:00:00,71,1,True
SYN-01024,Refund question,"Hello support, my refund return was approved. Please help me resolve this soon.",Refund Request,Low,Closed,Web,2024-01-18T18:00:00,87,3,True
SYN-01763,Package request,"Hello support, my package tracking is frozen. Please help me resolve this when possible.",Shipping Issue,Critical,Resolved,Web,2024-01-30T00:00:00,70,5,True
SYN-00688,Login question,"Hello support, my login cannot sign in. Please help me resolve this today.",Account Access,Critical,Open,Web,2024-06-12T18:00:00,86,4,True
SYN-01032,Refund help,"Hello support, my refund refund is missing. Please help me resolve this soon.",Refund Request,High,Resolved,Email,2024-03-04T02:00:00,33,1,True
SYN-01174,Money help,"Hello support, my money refund is missing. Please help me resolve this today.",Refund Request,Low,Closed,Email,2024-11-24T04:00:00,53,2,True
SYN-00689,Password question,"Hello support, my password code never arrived. Please help me resolve this when possible.",Account Access,Critical,Open,Email,2024-03-04T03:00:00,102,4,True
SYN-02027,Contact problem,"Hello support, my contact need some assistance. Please help me resolve this when possible.",General Support,Medium,Closed,Chat,2024-05-21T02:00:00,108,3,True
SYN-01186,Money problem,"Hello support, my money want my money back. Please help me resolve this when possible.",Refund Request,Critical,Open,Phone,2024-07-17T03:00:00,39,2,True
SYN-00467,Invoice problem,"Hello support, my invoice payment was declined. Please help me resolve this when possible.",Billing Inquiry,Medium,Resolved,Web,2024-05-06T02:00:00,30,4,True
SYN-01409,Upgrade request,"Hello support, my upgrade need more information. Please help me resolve this today.",Product Inquiry,Critical,Resolved,Phone,2024-02-25T14:00:00,97,4,True
SYN-01489,Plan help,"Hello support, my plan is this supported. Please help me resolve this soon.",Product Inquiry,Low,Closed,Email,2024-10-05T18:00:00,100,4,True
SYN-00381,Card request,"Hello support, my card payment was declined. Please help me resolve this today.",Billing Inquiry,High,Closed,Chat,2024-10-07T05:00:00,8,5,True
SYN-00911,Return help,"Hello support, my return refund is missing. Please help me resolve this when possible.",Refund Request,High,Resolved,Email,2024-05-25T07:00:00,88,5,True
SYN-01999,Contact question,"Hello support, my contact have a general question. Please help me resolve this soon.",General Support,High,Open,Email,2024-03-07T13:00:00,41,1,True
SYN-00731,Locked problem,"Hello support, my locked reset link expired. Please help me resolve this today.",Account Access,Low,Pending,Chat,2024-06-21T08:00:00,73,3,True
SYN-00247,Error question,"Hello support, my error stopped working. Please help me resolve this soon.",Technical Issue,Critical,Closed,Phone,2024-11-08T08:00:00,31,3,True
SYN-01001,Cancel request,"Hello support, my cancel return was approved. Please help me resolve this soon.",Refund Request,Critical,Closed,Email,2024-05-23T06:00:00,106,5,True
SYN-01177,Cancel help,"Hello support, my cancel want my money back. Please help me resolve this when possible.",Refund Request,High,Open,Email,2024-10-07T13:00:00,38,5,True
SYN-00583,Card problem,"Hello support, my card need a receipt. Please help me resolve this today.",Billing Inquiry,High,Closed,Web,2024-06-25T04:00:00,98,3,True
SYN-01868,Question request,"Hello support, my question have a general question. Please help me resolve this when possible.",General Support,Low,Resolved,Phone,2024-01-25T19:00:00,31,1,True
SYN-01325,Plan help,"Hello support, my plan want to compare options. Please help me resolve this when possible.",Product Inquiry,Medium,Closed,Chat,2024-02-01T16:00:00,44,3,True
SYN-00056,Error question,"Hello support, my error keeps failing. Please help me resolve this when possible.",Technical Issue,Critical,Closed,Email,2024-05-21T14:00:00,53,2,True
SYN-00436,Payment problem,"Hello support, my payment payment was declined. Please help me resolve this when possible.",Billing Inquiry,High,Pending,Email,2024-02-19T23:00:00,108,3,True
SYN-00438,Billing question,"Hello support, my billing need a receipt. Please help me resolve this when possible.",Billing Inquiry,Low,Open,Phone,2024-05-22T04:00:00,101,2,True
SYN-00682,Password help,"Hello support, my password cannot sign in. Please help me resolve this soon.",Account Access,Medium,Resolved,Chat,2024-10-17T16:00:00,60,3,True
SYN-01685,Delivery question,"Hello support, my delivery went to wrong address. Please help me resolve this when possible.",Shipping Issue,Medium,Closed,Web,2024-09-19T22:00:00,43,4,True
SYN-01345,Compatible problem,"Hello support, my compatible want to compare options. Please help me resolve this when possible.",Product Inquiry,Low,Closed,Phone,2024-03-28T06:00:00,52,1,True
SYN-00082,Crash problem,"Hello support, my crash will not start. Please help me resolve this today.",Technical Issue,Low,Closed,Web,2024-03-22T20:00:00,23,5,True
SYN-01006,Cancel request,"Hello support, my cancel refund is missing. Please help me resolve this soon.",Refund Request,Low,Pending,Chat,2024-06-11T18:00:00,76,2,True
SYN-00343,Invoice help,"Hello support, my invoice payment was declined. Please help me resolve this today.",Billing Inquiry,Medium,Closed,Web,2024-02-11T19:00:00,6,4,True
SYN-00953,Money request,"Hello support, my money refund is missing. Please help me resolve this soon.",Refund Request,Low,Resolved,Email,2024-09-08T02:00:00,32,2,True
SYN-01408,Product help,"Hello support, my product want to compare options. Please help me resolve this when possible.",Product Inquiry,Low,Open,Chat,2024-03-08T19:00:00,27,5,True
SYN-01223,Product problem,"Hello support, my product want to compare options. Please help me resolve this soon.",Product Inquiry,Low,Resolved,Web,2024-01-06T21:00:00,57,5,True
SYN-00920,Money question,"Hello support, my money cancel this order. Please help me resolve this soon.",Refund Request,Medium,Closed,Chat,2024-08-27T00:00:00,108,2,True
SYN-00051,Error problem,"Hello support, my error keeps failing. Please help me resolve this soon.",Technical Issue,Medium,Pending,Web,2024-10-31T16:00:00,97,1,True
SYN-02095,Support question,"Hello support, my support please contact me. Please help me resolve this today.",General Support,Critical,Pending,Phone,2024-06-22T09:00:00,12,3,True
SYN-00129,Device help,"Hello support, my device shows an error. Please help me resolve this today.",Technical Issue,Low,Pending,Web,2024-06-03T20:00:00,65,4,True
SYN-00303,Payment problem,"Hello support, my payment amount is incorrect. Please help me resolve this when possible.",Billing Inquiry,Critical,Resolved,Email,2024-10-23T14:00:00,100,5,True
SYN-01698,Tracking request,"Hello support, my tracking went to wrong address. Please help me resolve this soon.",Shipping Issue,High,Pending,Chat,2024-09-23T03:00:00,15,1,True
SYN-00311,Invoice question,"Hello support, my invoice amount is incorrect. Please help me resolve this today.",Billing Inquiry,Critical,Pending,Chat,2024-04-16T22:00:00,48,1,True
SYN-01030,Cancel help,"Hello support, my cancel cancel this order. Please help me resolve this today.",Refund Request,High,Open,Chat,2024-04-05T18:00:00,45,1,True
SYN-01386,Plan question,"Hello support, my plan which plan includes it. Please help me resolve this when possible.",Product Inquiry,High,Resolved,Web,2024-02-19T11:00:00,40,3,True
SYN-00234,Error request,"Hello support, my error stopped working. Please help me resolve this today.",Technical Issue,Low,Resolved,Web,2024-06-29T12:00:00,17,5,True
SYN-01268,Plan help,"Hello support, my plan need more information. Please help me resolve this when possible.",Product Inquiry,Critical,Pending,Phone,2024-10-04T12:00:00,101,1,True
SYN-00866,Verification problem,"Hello support, my verification account is locked. Please help me resolve this today.",Account Access,Critical,Resolved,Chat,2024-05-12T00:00:00,23,4,True
SYN-02048,Help problem,"Hello support, my help need some assistance. Please help me resolve this when possible.",General Support,Low,Closed,Web,2024-05-19T02:00:00,63,5,True
SYN-00125,Crash problem,"Hello support, my crash will not start. Please help me resolve this when possible.",Technical Issue,Low,Closed,Web,2024-09-10T04:00:00,54,3,True
SYN-01396,Plan question,"Hello support, my plan which plan includes it. Please help me resolve this soon.",Product Inquiry,Low,Pending,Email,2024-03-08T22:00:00,87,4,True
SYN-00880,Login problem,"Hello support, my login code never arrived. Please help me resolve this soon.",Account Access,Critical,Closed,Web,2024-03-20T13:00:00,111,5,True
SYN-01314,Product help,"Hello support, my product want to compare options. Please help me resolve this when possible.",Product Inquiry,Critical,Closed,Chat,2024-07-21T14:00:00,74,3,True
SYN-00193,Device question,"Hello support, my device will not start. Please help me resolve this when possible.",Technical Issue,Low,Open,Email,2024-02-28T10:00:00,85,1,True
SYN-00163,Error help,"Hello support, my error shows an error. Please help me resolve this soon.",Technical Issue,Low,Open,Phone,2024-01-18T19:00:00,83,1,True
SYN-00196,Update request,"Hello support, my update stopped working. Please help me resolve this soon.",Technical Issue,Medium,Resolved,Phone,2024-06-14T06:00:00,60,3,True
SYN-01903,Support problem,"Hello support, my support where can I find help. Please help me resolve this when possible.",General Support,Low,Pending,Phone,2024-10-13T14:00:00,102,2,True
SYN-00824,Login problem,"Hello support, my login cannot sign in. Please help me resolve this when possible.",Account Access,Low,Open,Chat,2024-09-23T19:00:00,79,1,True
SYN-01893,Question problem,"Hello support, my question please contact me. Please help me resolve this soon.",General Support,Medium,Closed,Phone,2024-08-14T15:00:00,4,5,True
SYN-02039,Support request,"Hello support, my support please contact me. Please help me resolve this today.",General Support,Low,Pending,Chat,2024-08-26T11:00:00,11,4,True
SYN-00700,Locked request,"Hello support, my locked code never arrived. Please help me resolve this soon.",Account Access,Medium,Resolved,Chat,2024-06-05T07:00:00,39,4,True
SYN-00491,Billing problem,"Hello support, my billing was charged twice. Please help me resolve this today.",Billing Inquiry,High,Resolved,Phone,2024-06-25T17:00:00,2,3,True
SYN-00228,Crash request,"Hello support, my crash keeps failing. Please help me resolve this when possible.",Technical Issue,Medium,Pending,Phone,2024-10-09T21:00:00,71,5,True
SYN-00592,Billing problem,"Hello support, my billing amount is incorrect. Please help me resolve this today.",Billing Inquiry,High,Pending,Email,2024-07-24T05:00:00,77,2,True
SYN-01255,Plan problem,"Hello support, my plan is this supported. Please help me resolve this when possible.",Product Inquiry,Medium,Open,Web,2024-03-08T18:00:00,82,1,True
SYN-01156,Cancel help,"Hello support, my cancel refund is missing. Please help me resolve this soon.",Refund Request,High,Open,Chat,2024-02-18T09:00:00,2,3,True
SYN-01615,Shipment problem,"Hello support, my shipment has not arrived. Please help me resolve this soon.",Shipping Issue,Critical,Open,Chat,2024-09-13T19:00:00,56,3,True
SYN-00440,Charged problem,"Hello support, my charged amount is incorrect. Please help me resolve this soon.",Billing Inquiry,Low,Closed,Phone,2024-03-04T19:00:00,23,5,True
SYN-00506,Card request,"Hello support, my card need a receipt. Please help me resolve this today.",Billing Inquiry,Medium,Closed,Email,2024-10-19T06:00:00,49,2,True
SYN-00037,Error problem,"Hello support, my error keeps failing. Please help me resolve this soon.",Technical Issue,Medium,Pending,Email,2024-04-15T05:00:00,47,3,True
SYN-00046,Update request,"Hello support, my update shows an error. Please help me resolve this soon.",Technical Issue,Critical,Pending,Phone,2024-07-08T05:00:00,17,4,True
SYN-01537,Delivery question,"Hello support, my delivery went to wrong address. Please help me resolve this when possible.",Shipping Issue,Low,Resolved,Phone,2024-07-19T18:00:00,99,4,True
SYN-01858,Support problem,"Hello support, my support have a general question. Please help me resolve this soon.",General Support,High,Closed,Email,2024-05-14T15:00:00,40,3,True
SYN-01914,Question help,"Hello support, my question need some assistance. Please help me resolve this when possible.",General Support,Medium,Open,Web,2024-10-02T03:00:00,117,4,True
SYN-00561,Billing problem,"Hello support, my billing payment was declined. Please help me resolve this today.",Billing Inquiry,Critical,Closed,Phone,2024-08-21T17:00:00,119,3,True
SYN-01908,Guidance problem,"Hello support, my guidance need some assistance. Please help me resolve this soon.",General Support,Critical,Open,Web,2024-05-31T05:00:00,93,2,True
SYN-01919,Contact request,"Hello support, my contact have a general question. Please help me resolve this today.",General Support,Low,Closed,Chat,2024-02-08T23:00:00,91,3,True
SYN-00728,Password problem,"Hello support, my password cannot sign in. Please help me resolve this soon.",Account Access,Low,Resolved,Email,2024-01-12T04:00:00,102,1,True
SYN-01413,Plan request,"Hello support, my plan need more information. Please help me resolve this today.",Product Inquiry,Low,Pending,Chat,2024-02-18T00:00:00,109,2,True
SYN-00640,Password problem,"Hello support, my password cannot sign in. Please help me resolve this soon.",Account Access,Critical,Open,Chat,2024-08-12T00:00:00,38,5,True
SYN-00144,Device help,"Hello support, my device stopped working. Please help me resolve this soon.",Technical Issue,Low,Closed,Email,2024-07-14T17:00:00,52,3,True
SYN-02008,Contact request,"Hello support, my contact where can I find help. Please help me resolve this today.",General Support,Low,Open,Chat,2024-01-08T23:00:00,89,4,True
SYN-00921,Purchase request,"Hello support, my purchase refund is missing. Please help me resolve this when possible.",Refund Request,Low,Closed,Email,2024-06-05T06:00:00,50,2,True
SYN-00559,Billing question,"Hello support, my billing amount is incorrect. Please help me resolve this today.",Billing Inquiry,Critical,Closed,Chat,2024-07-06T02:00:00,52,2,True
SYN-01115,Cancel request,"Hello support, my cancel return was approved. Please help me resolve this when possible.",Refund Request,Critical,Resolved,Email,2024-07-01T18:00:00,108,3,True
SYN-01866,Support request,"Hello support, my support please contact me. Please help me resolve this soon.",General Support,Low,Open,Web,2024-03-01T16:00:00,65,3,True
SYN-00942,Return request,"Hello support, my return want my money back. Please help me resolve this when possible.",Refund Request,Medium,Closed,Phone,2024-11-05T11:00:00,118,2,True
SYN-00986,Money request,"Hello support, my money refund is missing. Please help me resolve this today.",Refund Request,Low,Resolved,Web,2024-08-19T22:00:00,108,2,True
SYN-01878,Contact problem,"Hello support, my contact have a general question. Please help me resolve this soon.",General Support,Medium,Open,Web,2024-10-21T11:00:00,74,4,True
SYN-00973,Cancel problem,"Hello support, my cancel refund is missing. Please help me resolve this when possible.",Refund Request,Medium,Closed,Email,2024-11-20T18:00:00,115,3,True
SYN-01521,Package question,"Hello support, my package went to wrong address. Please help me resolve this when possible.",Shipping Issue,Low,Closed,Phone,2024-03-06T13:00:00,66,2,True
SYN-00076,Device request,"Hello support, my device shows an error. Please help me resolve this soon.",Technical Issue,Medium,Resolved,Chat,2024-02-04T07:00:00,107,3,True
SYN-01067,Purchase request,"Hello support, my purchase want my money back. Please help me resolve this today.",Refund Request,Medium,Resolved,Chat,2024-06-11T18:00:00,108,1,True
SYN-01228,Compatible help,"Hello support, my compatible which plan includes it. Please help me resolve this today.",Product Inquiry,Low,Pending,Chat,2024-02-07T06:00:00,10,3,True
SYN-01251,Feature request,"Hello support, my feature which plan includes it. Please help me resolve this when possible.",Product Inquiry,Low,Resolved,Chat,2024-10-01T07:00:00,11,5,True
SYN-00598,Card question,"Hello support, my card payment was declined. Please help me resolve this today.",Billing Inquiry,Critical,Closed,Web,2024-03-29T15:00:00,68,2,True
SYN-00509,Payment question,"Hello support, my payment payment was declined. Please help me resolve this soon.",Billing Inquiry,Low,Closed,Email,2024-07-10T06:00:00,72,3,True
SYN-00180,Update problem,"Hello support, my update shows an error. Please help me resolve this today.",Technical Issue,Critical,Resolved,Chat,2024-08-06T06:00:00,102,1,True
SYN-01645,Package question,"Hello support, my package tracking is frozen. Please help me resolve this today.",Shipping Issue,Low,Pending,Email,2024-03-19T04:00:00,53,5,True
SYN-00807,Password question,"Hello support, my password reset link expired. Please help me resolve this when possible.",Account Access,Low,Closed,Email,2024-01-27T16:00:00,96,1,True
SYN-00321,Billing problem,"Hello support, my billing was charged twice. Please help me resolve this soon.",Billing Inquiry,Low,Closed,Email,2024-01-20T18:00:00,32,3,True
SYN-00211,Device help,"Hello support, my device stopped working. Please help me resolve this when possible.",Technical Issue,High,Resolved,Phone,2024-04-17T02:00:00,23,5,True
SYN-01340,Compatible problem,"Hello support, my compatible which plan includes it. Please help me resolve this when possible.",Product Inquiry,Critical,Pending,Phone,2024-06-20T04:00:00,86,3,True
SYN-01000,Cancel request,"Hello support, my cancel refund is missing. Please help me resolve this when possible.",Refund Request,Medium,Open,Phone,2024-11-16T22:00:00,89,2,True
SYN-00264,Update help,"Hello support, my update stopped working. Please help me resolve this soon.",Technical Issue,Medium,Closed,Email,2024-03-18T20:00:00,46,5,True
SYN-00574,Charged request,"Hello support, my charged was charged twice. Please help me resolve this today.",Billing Inquiry,High,Pending,Web,2024-08-10T17:00:00,18,2,True
SYN-01963,Help problem,"Hello support, my help where can I find help. Please help me resolve this today.",General Support,High,Pending,Phone,2024-06-14T17:00:00,1,5,True
SYN-01307,Plan question,"Hello support, my plan is this supported. Please help me resolve this when possible.",Product Inquiry,Critical,Resolved,Email,2024-03-01T10:00:00,38,4,True
SYN-01791,Tracking request,"Hello support, my tracking tracking is frozen. Please help me resolve this today.",Shipping Issue,Medium,Closed,Phone,2024-07-26T01:00:00,78,3,True
SYN-01833,Support request,"Hello support, my support where can I find help. Please help me resolve this when possible.",General Support,Critical,Open,Web,2024-01-10T22:00:00,44,5,True
SYN-01810,Question request,"Hello support, my question where can I find help. Please help me resolve this soon.",General Support,High,Pending,Web,2024-04-26T12:00:00,4,3,True
SYN-01337,Compatible problem,"Hello support, my compatible need more information. Please help me resolve this soon.",Product Inquiry,High,Closed,Web,2024-05-10T08:00:00,66,1,True
SYN-00910,Purchase request,"Hello support, my purchase want my money back. Please help me resolve this soon.",Refund Request,Low,Closed,Phone,2024-05-07T21:00:00,18,3,True
SYN-01037,Money problem,"Hello support, my money want my money back. Please help me resolve this today.",Refund Request,High,Pending,Phone,2024-06-13T19:00:00,54,1,True
SYN-00362,Invoice question,"Hello support, my invoice payment was declined. Please help me resolve this today.",Billing Inquiry,Low,Resolved,Chat,2024-01-07T20:00:00,41,4,True
SYN-01349,Upgrade request,"Hello support, my upgrade which plan includes it. Please help me resolve this when possible.",Product Inquiry,Critical,Closed,Phone,2024-03-01T23:00:00,111,2,True
SYN-00435,Invoice problem,"Hello support, my invoice amount is incorrect. Please help me resolve this when possible.",Billing Inquiry,Low,Pending,Phone,2024-05-10T00:00:00,19,2,True
